OTU_ID	Taxon	TC10-1	TC10-2	TC10-3	TC50-1	TC50-2	TC50-3	TC25-1	TC25-2	TC25-3	CK-1	CK-2	CK-3
OTU2	r__Root;k__Archaea;p__Candidatus_Korarchaeota	2.639348331	3.144352579	2.320374842	2.329752853	3.35128433	2.450632136	2.290706037	2.489068933	3.444593004	2.349005417	2.626293762	3.918661486
OTU3	r__Root;k__Archaea;p__Candidatus_Lokiarchaeota	14.8636985	14.901497	17.2739016	13.70442855	14.04961508	18.59597327	12.08983742	11.2008102	13.40930848	14.21766436	13.78804225	15.06235509
OTU4	r__Root;k__Archaea;p__Candidatus_Micrarchaeota	9.446088764	8.612791846	9.023679941	10.00423284	10.8272263	6.919431913	6.744856665	6.448951327	6.274080114	8.036071162	7.353622532	7.469948459
OTU5	r__Root;k__Archaea;p__Candidatus_Thermoplasmatota	62.83501202	53.31728286	61.18914398	53.90408563	51.7300812	59.87230669	48.48661112	44.72781447	48.01926676	60.29113903	59.8357262	54.57552508
OTU6	r__Root;k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata	269.6765733	237.3758345	268.4759632	246.0858553	221.7862784	262.5539998	215.7929928	201.5014441	208.0288132	240.7936605	254.4878655	241.5691529
OTU7	r__Root;k__Archaea;p__Crenarchaeota	171.1872067	158.5391684	175.2312705	133.3897712	145.9527291	160.5404307	132.6064273	139.9535577	122.8571505	158.784524	154.0321291	153.3992694
OTU8	r__Root;k__Archaea;p__Crenarchaeota;c__Thermoprotei	854.3616852	790.9641697	874.6094358	665.4413689	728.2598641	801.1164503	661.4625785	698.5986806	612.8915123	792.4802485	768.7599556	765.7717655
OTU9	r__Root;k__Archaea;p__Euryarchaeota	5676.49739	5250.795384	5547.586548	4150.249142	4789.586821	5207.497185	4521.17499	4537.15782	4466.693964	5381.076882	5001.032352	5012.376235
OTU10	r__Root;k__Archaea;p__Euryarchaeota;c__Archaeoglobi	99.87849737	85.94563715	83.27567488	65.68989418	88.164557	86.15653764	83.86529325	64.79121859	79.06161085	87.24288539	67.53952123	81.31222584
OTU11	r__Root;k__Archaea;p__Euryarchaeota;c__Halobacteria	23751.40302	21970.7763	23191.15824	17215.77723	19984.56777	21783.09244	18852.38342	19022.03049	18651.40493	21903.98098	20950.60191	20990.06534
